date,campaign_id,category_id,industry,customer_id,publisher,market_id,cost,clicks,converions
2020-01-13,13438542,291000,Health Science,746,2c493,12733593,0.5500001611,1.000000293,0
2020-03-14,13263546,413000,Marketing,564,cd0ec,12705087,1.240000435,3.000001051,0
2019-12-26,13582620,532000,"Transportation, Distribution & Logistics",629,d7fa7,12705063,4.184003823,12.00001097,0
2020-01-29,14050177,172070,Manufacturing,185,2b764,12705063,1.590002032,4.000005111,0
2019-12-06,12946962,131000,Finance,288,28377,12705087,1.037768708,1.000001456,0
2020-03-29,14779177,100000,"Science, Technology, Engineering & Mathematics",694,2c493,12705063,14.23002176,25.00003823,1
2020-01-16,13324934,151100,Manufacturing,185,2c493,12686172,0.5900009618,2.00000326,0
2020-03-05,14000177,413000,Marketing,564,28b5f,12686172,1.500002494,1.000001663,0
2019-10-02,12838151,291000,Health Science,746,2c493,12686172,0.2300006272,1.000002727,0
2020-02-29,13230723,419000,Marketing,564,2c493,12705087,17.27006327,50.00018318,0
2019-11-19,12828669,292010,"Science, Technology, Engineering & Mathematics",507,2c493,12686172,0.150000563,1.000003753,0
2020-02-01,14009632,171000,Marketing,564,cf11d,12686172,2.400009326,6.000023316,0
2019-10-17,12770323,251000,Health Science,746,d7fa7,12705087,1.350005265,1.0000039,0
2020-02-13,13944131,532000,Marketing,564,60195,12705087,1.090004291,2.000007874,0
2020-02-27,14236688,419000,Marketing,564,d7fa7,12733593,0.150000776,1.000005173,0
2019-11-08,13195145,413000,Marketing,564,2c493,12705063,0,0,1
2020-01-13,13871196,413000,Marketing,430,2b764,12705087,2.180012888,2.000011824,0
2019-12-25,13195717,419000,Marketing,564,2b764,12765757,1.440008538,2.000011859,0
2020-02-04,13562539,419000,Marketing,564,60195,12765757,2.400014774,1.000006156,0
2020-02-25,13195470,419000,Marketing,564,2b764,12765757,1.169907587,3.000019455,0
2020-03-11,14447053,131000,Finance,287,d7fa7,12765757,1.520009925,4.000026118,0
2020-03-18,13263369,419000,Marketing,564,8c421,12765757,0,0,0
2019-11-23,13195766,419000,Marketing,564,cf11d,12765757,0.1900013154,1.000006923,0
2020-02-03,14001291,419000,Marketing,564,2c493,12765757,201.7615471,141.0010812,2
2020-02-26,13194787,413000,Marketing,564,3131a,12765757,1.765992111,4.000031925,0
2020-01-30,13323932,131000,"Science, Technology, Engineering & Mathematics",694,2c493,12764912,0,0,4
2020-02-04,13195742,413000,Marketing,564,28b5f,12764912,0.4453059811,1.000008553,0
2020-02-18,14007502,412000,Marketing,564,2c493,12699961,45.1903903,140.0012091,3
2019-10-27,12827512,333000,"Science, Technology, Engineering & Mathematics",694,2b764,12699961,2.1600189,8.00007,0
2020-03-05,14600074,291020,Health Science,746,2c493,12699961,1.230010965,1.000008915,0
2020-03-11,14005679,412000,Marketing,564,a17bf,12699961,15.79014636,18.00016684,2
2020-01-06,13571234,292020,Health Science,653,2b764,12699961,0.3400032729,1.000009626,0
2020-03-29,14559122,271000,"Science, Technology, Engineering & Mathematics",507,2c493,12699961,3.370033426,3.000029756,0
2020-02-18,13230561,419000,Marketing,564,2c493,12699961,28.84029152,86.0008693,0
2019-10-10,12935191,291020,Health Science,832,d7fa7,12699961,0.1860019183,1.000010313,0
2020-03-15,13194353,413000,Marketing,564,2c493,12699961,0.9100104487,3.000034446,0
2020-02-03,14050080,291060,Health Science,668,d7fa7,12699961,0.07000080863,1.000011552,0
2020-02-29,14218418,419000,Marketing,564,2b764,12764913,8.609700879,22.00025777,0
2020-01-17,13583172,152000,Manufacturing,185,2b764,12764913,0.4099049782,1.000012145,0
2019-12-26,13263489,419000,Marketing,564,60195,12764913,2.280027873,2.00002445,0
2019-12-07,13196132,413000,Marketing,564,28b5f,12764913,0,0,1
2020-03-20,14668302,419000,Marketing,564,cf11d,12764913,8.770109523,21.00026226,0
2020-01-15,13540652,151100,Manufacturing,185,2b764,12764912,0.8400110898,3.000039606,0
2020-03-10,14490602,412000,Finance,287,2c493,12693343,6.010079653,18.00023856,1
2020-02-06,14060930,419000,Marketing,564,a17bf,12693343,0.8300110633,2.000026659,0
2020-03-23,14060337,419000,Marketing,564,28b5f,12693343,3.260046484,2.000028518,0
2020-03-23,14138837,372000,Manufacturing,185,2b764,12693343,3.200045823,8.000114557,0
2020-03-02,13225979,412000,Marketing,564,2c493,12712724,0.7500107867,2.000028765,0
2019-12-03,12856232,412000,Finance,287,d7fa7,12693343,1.200017391,2.000028986,0
2020-03-06,14160385,172199,"Science, Technology, Engineering & Mathematics",694,2c493,12712724,1.460021273,5.000072854,0
2020-02-29,13226324,419000,Marketing,564,2b764,12693343,0.3899057053,1.000014633,0
2019-12-19,13350716,131000,"Science, Technology, Engineering & Mathematics",507,2c493,12712724,0.4500069174,2.000030744,0
2020-03-16,13196220,413000,Marketing,564,a17bf,12693343,1.340020678,3.000046294,0
2020-03-26,14838765,412000,Marketing,564,cd0ec,12693343,25.30039554,39.00060973,2
2020-03-14,14232893,512000,Manufacturing,185,28377,12693343,0.4266934185,1.000015724,0
2019-11-27,13194981,413000,Marketing,564,cd0ec,12693343,0,0,0
2020-02-07,13195549,413000,Marketing,564,2b764,12693343,3.010048371,7.000112491,1
2020-02-05,14002540,171000,Marketing,564,d7fa7,12693343,7.938130558,11.00018092,0
2019-11-25,13194734,419000,Marketing,564,2c493,12693343,4.110070769,12.00020662,0
2020-01-31,13196326,413000,Marketing,564,cf11d,12693343,0,0,1
2020-03-24,14781142,291000,Health Science,746,2c493,12693343,0.6300115795,1.00001838,0
2020-03-15,14001331,419000,Marketing,564,f465f,12693343,1.750032646,5.000093275,0
2019-12-31,13194493,413000,Marketing,564,d7fa7,12693343,1.320024769,3.000056294,0
2020-01-13,13194891,419000,Marketing,564,2b764,12693343,4.509884869,11.00020701,0
2019-12-27,13325013,171000,Manufacturing,185,28377,12693343,0.3846252843,1.000019468,0
2020-03-26,14419309,291020,Human Services,484,cd0ec,12693343,14.12027537,33.00064358,0
2019-12-09,13374165,291000,Health Science,746,2c493,12693343,3.970077855,4.000078444,0
2020-02-24,13196068,419000,Marketing,564,a17bf,12693343,1.650032774,5.000099317,0
2019-11-26,12827067,131000,Education & Training,673,2c493,12693343,0.1500029796,1.000019864,0
2020-03-09,13975907,100000,Finance,287,2c493,12693343,0,0,0
2020-03-28,13194766,413000,Marketing,564,2c493,12693343,1.600032769,3.000061443,0
2020-03-12,14464456,412000,Marketing,564,a17bf,12712724,1.380028287,3.000061494,0
2020-03-21,14001025,419000,Marketing,564,2c493,12693343,8.4801764,24.00049925,1
2020-02-23,13195577,413000,Marketing,564,2b764,12712724,0.470009893,1.000021049,0
2020-02-07,13194641,419000,Marketing,564,28377,12693343,0.3835579451,1.000021078,0
2020-03-09,13194937,413000,Marketing,564,d7fa7,12693343,0.5100107728,1.000021123,0
2020-02-19,13194362,413000,Marketing,564,2c493,12693343,10.17021547,28.00059323,2
2019-11-06,13195836,412000,Marketing,564,28377,12693343,0.3738543619,1.000021978,0
2019-10-31,13118821,271000,Finance,288,2b764,12693343,1.50993334,2.000044162,0
2020-02-01,14004109,171000,Marketing,564,60195,12693343,6.930153101,9.000198832,0
2020-02-27,14479504,251000,Health Science,746,2c493,12712724,6.800150753,17.00037688,0
2019-11-10,13194603,413000,Marketing,564,2c493,12693343,8.61019099,24.00053238,0
